autor,bioatividade,classe,Contagem
Kawaguchi et al 2020,Algicida,Acilamidos e Ácidos Graxos,1
Nagai et al 2019,Algicida,Compostos Aromáticos e Fenólicos,4
Nagai et al 2019,Algicida,Compostos Heterocíclicos,7
Iguchi et al 2021,Algicida,Compostos Miscelâneos e Diversos,2
Nagai et al 2019,Algicida,Compostos Miscelâneos e Diversos,2
Kawaguchi et al 2020,Algicida,Peptídeos e Lipopeptídeos,2
Kuranaga et al 2020,Algicida,Peptídeos e Lipopeptídeos,2
Ishida and Murakami 2000,Algicida,Peptídeos e Lipopeptídeos,1
Junttner et al  2000,Algicida,Peptídeos e Lipopeptídeos,1
Lee and Gleason 1994,Algicida,Peptídeos e Lipopeptídeos,1
Leão et al 2010,Algicida,Peptídeos e Lipopeptídeos,1
Nagai et al 2019,Algicida,Peptídeos e Lipopeptídeos,1
Pignatello et al 1983,Algicida,Peptídeos e Lipopeptídeos,1
Todorova et al  1995,Algicida,Peptídeos e Lipopeptídeos,1
Kawaguchi et al 2020,Algicida,Terpenoides e Esteroides,1
Petitbois et al 2017,Anti-incrustante,Compostos Heterocíclicos,2
Petitbois et al 2017,Anti-incrustante,Peptídeos e Lipopeptídeos,1
Engene et al 2011,Anti-inflamatório,Compostos Miscelâneos e Diversos,1
Choi et al 2012,Anti-inflamatório,Compostos Orgânicos Voláteis,1
Kapuscik et al 2013,Anti-inflamatório,Peptídeos e Lipopeptídeos,1
Malloy et al 2011,Anti-inflamatório,Peptídeos e Lipopeptídeos,1
Prinsep and Thomson 1996,Anti-inflamatório,Terpenoides e Esteroides,1
Kwan et al 2010,Antibacteriano,Acilamidos e Ácidos Graxos,1
Kwan et al 2011,Antibacteriano,Acilamidos e Ácidos Graxos,1
Maneechote et al 2017,Antibacteriano,Acilamidos e Ácidos Graxos,1
Carmeli et al 1990,Antibacteriano,Alcaloides,6
Adiv et al 2012,Antibacteriano,Alcaloides,1
Volk et al 2009,Antibacteriano,Alcaloides,1
Sturdy et al 2010,Antibacteriano,Compostos Aromáticos e Fenólicos,1
Bui et al 2007,Antibacteriano,Compostos Heterocíclicos,3
Luesh et al 2002,Antibacteriano,Compostos Heterocíclicos,2
Muller et al 2006,Antibacteriano,Compostos Heterocíclicos,2
Ahamed et al 2017,Antibacteriano,Compostos Miscelâneos e Diversos,1
Choi et al 2010,Antibacteriano,Compostos Miscelâneos e Diversos,1
Liang et al 2019,Antibacteriano,Compostos Miscelâneos e Diversos,1
Choi et al 2012,Antibacteriano,Compostos Orgânicos Voláteis,1
Jaki et al 2000,Antibacteriano,Compostos aromáticos e fenólicos,3
Kossack et al 2020,Antibacteriano,Compostos aromáticos e fenólicos,3
Cabanillas et al 2018,Antibacteriano,Compostos cíclicos especializados,2
Preisitsch et al 2016,Antibacteriano,Compostos heterocíclicos,20
Preisitsch et al 2015,Antibacteriano,Compostos heterocíclicos,3
Luo et al 2014,Antibacteriano,Compostos heterocíclicos,1
Moore et al 1992,Antibacteriano,Compostos heterocíclicos,1
Pluotno & Carmeli 2000,Antibacteriano,Compostos heterocíclicos,1
Gutiérrez et al 2008,Antibacteriano,Derivados Isoprenoides e Carotenoides,1
Mo et al 2009,Antibacteriano,Derivados Isoprenoides e Carotenoides,1
Bagchi 1995,Antibacteriano,Lactonas,1
Cardelina and Moore 1979,Antibacteriano,Lactonas,1
Oku et al 2017,Antibacteriano,Lactonas,1
Tripathi et al 2010,Antibacteriano,Macrolídeos e Polícetídeos,2
Phyo et al 2021,Antibacteriano,Macrolídeos e Polícetídeos,1
Montaser et al 2011,Antibacteriano,Peptídeos e Lipopeptídeos,3
Phyo et al 2021,Antibacteriano,Peptídeos e Lipopeptídeos,3
Luesch et al 2001,Antibacteriano,Peptídeos e Lipopeptídeos,2
Zainuddin et al 2009,Antibacteriano,Peptídeos e Lipopeptídeos,2
Ishida et al 1997,Antibacteriano,Peptídeos e Lipopeptídeos,1
Kaya et al 2002,Antibacteriano,Peptídeos e Lipopeptídeos,1
Levert et al 2018,Antibacteriano,Peptídeos e Lipopeptídeos,1
Martins et al  2018,Antibacteriano,Peptídeos e Lipopeptídeos,1
Matern et al 2003,Antibacteriano,Peptídeos e Lipopeptídeos,1
Pergant and Carmeli 1994,Antibacteriano,Peptídeos e Lipopeptídeos,1
Pignatello et al 1983,Antibacteriano,Peptídeos e Lipopeptídeos,1
Todorova et al  1995,Antibacteriano,Peptídeos e Lipopeptídeos,1
Gutiérrez et al 2008,Antibacteriano,Terpenoides e Esteroides,1
Costa et al 2016,Antibacteriano,Terpenoides e esteroides,2
Brumley et al 2018,Antibiótico,Compostos Aromáticos e Fenólicos,3
Han et al 2003,Anticrustáceo,Acilamidos e Ácidos Graxos,7
Tan et al 2008,Anticrustáceo,Acilamidos e Ácidos Graxos,2
Milligan et al 2000,Anticrustáceo,Acilamidos e Ácidos Graxos,1
Todd and Gerwick 1995,Anticrustáceo,Acilamidos e Ácidos Graxos,1
Akamatsu et al 2022,Anticrustáceo,Alcaloides,2
Jiang et al  2014,Anticrustáceo,Alcaloides,2
Sitachitta and  Gerwic 1998,Anticrustáceo,Compostos Miscelâneos e Diversos,1
Singh et al 1999,Anticrustáceo,Lactonas,1
D'Agostino et al 2018,Anticrustáceo,Peptídeos e Lipopeptídeos,37
Williamson et al 2004,Anticrustáceo,Peptídeos e Lipopeptídeos,3
Bingnan et al 2011,Anticrustáceo,Peptídeos e Lipopeptídeos,2
Portmann et al 2008,Anticrustáceo,Peptídeos e Lipopeptídeos,2
Sitachitta et al 2000,Anticrustáceo,Peptídeos e Lipopeptídeos,2
Blom et al 2003,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Graber and Gerwick 1998,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Kohler et al 2014,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Milligan et al 2000,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Rohlack et al 2003,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Sieber et al 2020,Anticrustáceo,Peptídeos e Lipopeptídeos,1
Tan et al 2000,Anticrustáceo,Terpenoides e Esteroides,2
Sonjoukhan et al 1991,Antifúngico,Compostos Heterocíclicos,1
Singh et al 1999,Antifúngico,Lactonas,1
Heinilä et al  2021,Antifúngico,Macrolídeos e Polícetídeos,8
Heinilä et al  2020,Antifúngico,Macrolídeos e Polícetídeos,6
Bertin et al 2016,Antifúngico,Macrolídeos e Polícetídeos,2
Carmeli et al 1990,Antifúngico,Macrolídeos e Polícetídeos,1
MARQUEZ et al 2002,Antifúngico,Macrolídeos e Polícetídeos,1
Shishido et al  2015,Antifúngico,Macrolídeos e Polícetídeos,1
Shishido et al  2015,Antifúngico,Nucleosídeos e Açúcares,4
Brilisauer et al 2019,Antifúngico,Nucleosídeos e Açúcares,1
Bui et al 2014,Antifúngico,Peptídeos e Lipopeptídeos,4
Cheel et al 2018,Antifúngico,Peptídeos e Lipopeptídeos,3
Jaki et al 2001,Antifúngico,Peptídeos e Lipopeptídeos,2
MacMillan et al 2002,Antifúngico,Peptídeos e Lipopeptídeos,2
Meickle et al 2009,Antifúngico,Peptídeos e Lipopeptídeos,2
Carter et al 1984,Antifúngico,Peptídeos e Lipopeptídeos,1
Kajiyama et al 1998,Antifúngico,Peptídeos e Lipopeptídeos,1
Keller et al 2020,Antifúngico,Peptídeos e Lipopeptídeos,1
Milligan et al 2000,Antifúngico,Peptídeos e Lipopeptídeos,1
Moon et al 1992,Antifúngico,Peptídeos e Lipopeptídeos,1
Neuhof et al 2005,Antifúngico,Peptídeos e Lipopeptídeos,1
Neuhof et al 2006,Antifúngico,Peptídeos e Lipopeptídeos,1
Pancrace et al 2017,Antifúngico,Peptídeos e Lipopeptídeos,1
Pergant and Carmeli 1994,Antifúngico,Peptídeos e Lipopeptídeos,1
Shishido et al  2015,Antifúngico,Peptídeos e Lipopeptídeos,1
NINOMIYA et al 2011,Antioxidante,Compostos Aromáticos e Fenólicos,1
NINOMIYA et al 2011,Antioxidante,Compostos aromáticos e fenólicos,1
Ishihara et al  2017,Antioxidante,MAAs,1
Zhang et al 2006,Antioxidante,MAAs,1
Costa et al 2019,Antiparasitários,Compostos Aromáticos e Fenólicos,1
Rickards et al 1999,Antiparasitários,Compostos Heterocíclicos,2
Sweeney-Jones et al 2020,Antiparasitários,Compostos Heterocíclicos,1
Sweeney-Jones et al 2020,Antiparasitários,Compostos Miscelâneos e Diversos,2
PAPENDORF et al 1998,Antiparasitários,Compostos heterocíclicos,1
Gutiérrez et al 2010,Antiparasitários,Lactonas,1
Balunas et al 2012,Antiparasitários,Macrolídeos e Polícetídeos,4
Tripathi et al 2010,Antiparasitários,Macrolídeos e Polícetídeos,2
Linington et al 2009,Antiparasitários,Macrolídeos e Polícetídeos,1
Shao et al 2015,Antiparasitários,Macrolídeos e Polícetídeos,1
Shao et al 2018,Antiparasitários,Macrolídeos e Polícetídeos,1
Almaliti et al 2017,Antiparasitários,Peptídeos e Lipopeptídeos,4
Balunas et al 2010,Antiparasitários,Peptídeos e Lipopeptídeos,3
McPhail et al 2007,Antiparasitários,Peptídeos e Lipopeptídeos,3
Iwasaki et al 2018,Antiparasitários,Peptídeos e Lipopeptídeos,2
Linington et al 2007,Antiparasitários,Peptídeos e Lipopeptídeos,2
Sweeney-Jones et al 2020,Antiparasitários,Peptídeos e Lipopeptídeos,2
Vininget al 2015,Antiparasitários,Peptídeos e Lipopeptídeos,2
Iwasaki et al 2020,Antiparasitários,Peptídeos e Lipopeptídeos,1
Kurisawa et al 2017,Antiparasitários,Peptídeos e Lipopeptídeos,1
Linington et al 2008,Antiparasitários,Peptídeos e Lipopeptídeos,1
