autor,bioatividade,habitat,Contagem
Kuranaga et al 2020,Algicida,água doce,2
Lee and Gleason 1994,Algicida,água doce,1
Leão et al 2010,Algicida,água doce,1
Pignatello et al 1983,Algicida,água doce,1
Kawaguchi et al 2020,Algicida,água salgada,4
Iguchi et al 2021,Algicida,água salgada,2
Nagai et al 2019,Algicida,água salgada,1
Petitbois et al 2017,Anti-incrustante,água salgada,3
Kapuscik et al 2013,Anti-inflamatório,terrestre,1
Prinsep and Thomson 1996,Anti-inflamatório,terrestre,1
Choi et al 2012,Anti-inflamatório,água salgada,1
Engene et al 2011,Anti-inflamatório,água salgada,1
Malloy et al 2011,Anti-inflamatório,água salgada,1
Preisitsch et al 2015,Antibacteriano,Terrestre,3
Carmeli et al 1990,Antibacteriano,terrestre,6
Bui et al 2007,Antibacteriano,terrestre,3
Cabanillas et al 2018,Antibacteriano,terrestre,2
Costa et al 2016,Antibacteriano,terrestre,2
Matern et al 2003,Antibacteriano,terrestre,1
Mo et al 2009,Antibacteriano,terrestre,1
Pergant and Carmeli 1994,Antibacteriano,terrestre,1
Pluotno & Carmeli 2000,Antibacteriano,terrestre,1
Preisitsch et al 2016,Antibacteriano,água doce,20
Costa et al 2016,Antibacteriano,água doce,2
Muller et al 2006,Antibacteriano,água doce,2
Zainuddin et al 2009,Antibacteriano,água doce,2
Adiv et al 2012,Antibacteriano,água doce,1
Bagchi 1995,Antibacteriano,água doce,1
Ishida et al 1997,Antibacteriano,água doce,1
Kaya et al 2002,Antibacteriano,água doce,1
Martins et al  2018,Antibacteriano,água doce,1
Pignatello et al 1983,Antibacteriano,água doce,1
Phyo et al 2021,Antibacteriano,água salgada,4
Montaser et al 2011,Antibacteriano,água salgada,3
Costa et al 2016,Antibacteriano,água salgada,2
Gutiérrez et al 2008,Antibacteriano,água salgada,2
Luesch et al 2001,Antibacteriano,água salgada,2
Luesh et al 2002,Antibacteriano,água salgada,2
Tripathi et al 2010,Antibacteriano,água salgada,2
Ahamed et al 2017,Antibacteriano,água salgada,1
Cardelina and Moore 1979,Antibacteriano,água salgada,1
Choi et al 2010,Antibacteriano,água salgada,1
Choi et al 2012,Antibacteriano,água salgada,1
Kwan et al 2010,Antibacteriano,água salgada,1
Kwan et al 2011,Antibacteriano,água salgada,1
Levert et al 2018,Antibacteriano,água salgada,1
Liang et al 2019,Antibacteriano,água salgada,1
Maneechote et al 2017,Antibacteriano,água salgada,1
Costa et al 2016,Antibacteriano,água salobra,2
Brumley et al 2018,Antibiótico,água salgada,3
D'Agostino et al 2018,Anticrustáceo,água doce,33
Akamatsu et al 2022,Anticrustáceo,água doce,2
Portmann et al 2008,Anticrustáceo,água doce,2
Blom et al 2003,Anticrustáceo,água doce,1
Han et al 2003,Anticrustáceo,água salgada,7
Williamson et al 2004,Anticrustáceo,água salgada,3
Bingnan et al 2011,Anticrustáceo,água salgada,2
Jiang et al  2014,Anticrustáceo,água salgada,2
Milligan et al 2000,Anticrustáceo,água salgada,2
Sitachitta et al 2000,Anticrustáceo,água salgada,2
Tan et al 2000,Anticrustáceo,água salgada,2
Tan et al 2008,Anticrustáceo,água salgada,2
Graber and Gerwick 1998,Anticrustáceo,água salgada,1
Singh et al 1999,Anticrustáceo,água salgada,1
Sitachitta and  Gerwic 1998,Anticrustáceo,água salgada,1
Todd and Gerwick 1995,Anticrustáceo,água salgada,1
Heinilä et al  2020,Antifúngico,terrestre,6
Jaki et al 2001,Antifúngico,terrestre,2
Carmeli et al 1990,Antifúngico,terrestre,1
Kajiyama et al 1998,Antifúngico,terrestre,1
Neuhof et al 2005,Antifúngico,terrestre,1
Neuhof et al 2006,Antifúngico,terrestre,1
Pergant and Carmeli 1994,Antifúngico,terrestre,1
Shishido et al  2015,Antifúngico,terrestre,1
Sonjoukhan et al 1991,Antifúngico,terrestre,1
Heinilä et al  2021,Antifúngico,água doce,8
Shishido et al  2015,Antifúngico,água doce,6
Brilisauer et al 2019,Antifúngico,água doce,1
Moon et al 1992,Antifúngico,água doce,1
Pancrace et al 2017,Antifúngico,água doce,1
Bertin et al 2016,Antifúngico,água salgada,2
MacMillan et al 2002,Antifúngico,água salgada,2
Meickle et al 2009,Antifúngico,água salgada,2
Carter et al 1984,Antifúngico,água salgada,1
MARQUEZ et al 2002,Antifúngico,água salgada,1
Milligan et al 2000,Antifúngico,água salgada,1
Singh et al 1999,Antifúngico,água salgada,1
Bui et al 2014,Antifúngico,água salobra,4
NINOMIYA et al 2011,Antioxidante,terrestre,2
Zhang et al 2006,Antioxidante,água doce,1
Sweeney-Jones et al 2020,Antiparasitários,água salgada,5
Almaliti et al 2017,Antiparasitários,água salgada,4
Balunas et al 2012,Antiparasitários,água salgada,4
McPhail et al 2007,Antiparasitários,água salgada,3
Iwasaki et al 2018,Antiparasitários,água salgada,2
Linington et al 2007,Antiparasitários,água salgada,2
Tripathi et al 2010,Antiparasitários,água salgada,2
Vininget al 2015,Antiparasitários,água salgada,2
Costa et al 2019,Antiparasitários,água salgada,1
Gutiérrez et al 2010,Antiparasitários,água salgada,1
Iwasaki et al 2020,Antiparasitários,água salgada,1
Kurisawa et al 2017,Antiparasitários,água salgada,1
Linington et al 2008,Antiparasitários,água salgada,1
Linington et al 2009,Antiparasitários,água salgada,1
Ogawa et al 2016,Antiparasitários,água salgada,1
Ogawa et al 2017,Antiparasitários,água salgada,1
Ozaki et al 2019,Antiparasitários,água salgada,1
PAPENDORF et al 1998,Antiparasitários,água salgada,1
Shao et al 2015,Antiparasitários,água salgada,1
Shao et al 2018,Antiparasitários,água salgada,1
Tripathi et al 2011,Antiparasitários,água salgada,1
Balunas et al 2010,Antiparasitários,água salobra,3
Preisitsch et al 2015,Antitumoral e Citotóxico,Terrestre,3
Carmeli et al 1990,Antitumoral e Citotóxico,terrestre,17
Liu et al 2014,Antitumoral e Citotóxico,terrestre,4
Bui et al 2007,Antitumoral e Citotóxico,terrestre,3
Carmeli et al 1991,Antitumoral e Citotóxico,terrestre,3
Hrouzek et al 2012,Antitumoral e Citotóxico,terrestre,2
Saha et al 2020,Antitumoral e Citotóxico,terrestre,2
Tomek et al 2015,Antitumoral e Citotóxico,terrestre,2
Yang et al 1993,Antitumoral e Citotóxico,terrestre,2
Paik et al 1994,Antitumoral e Citotóxico,terrestre,1
Stratmann et al  1994,Antitumoral e Citotóxico,terrestre,1
Pérez et al 2020,Antitumoral e Citotóxico,água doce,4
He et al 2018,Antitumoral e Citotóxico,água doce,3
Barchi jr. et al 1984,Antitumoral e Citotóxico,água doce,2
Kang et al 2012,Antitumoral e Citotóxico,água doce,2
Luo et al 2015,Antitumoral e Citotóxico,água doce,2
Sulivan et al 2020,Antitumoral e Citotóxico,água doce,2
Belise et al 2017,Antitumoral e Citotóxico,água doce,1
Fujii et al 1999,Antitumoral e Citotóxico,água doce,1
Luo et al 2014,Antitumoral e Citotóxico,água doce,1
Pancreace et al 2019,Antitumoral e Citotóxico,água doce,1
Yu et al 2019,Antitumoral e Citotóxico,água salgada,15
Salvador et al 2011,Antitumoral e Citotóxico,água salgada,9
Tao et al 2018,Antitumoral e Citotóxico,água salgada,9
Han et al 2005,Antitumoral e Citotóxico,água salgada,7
Harrigan et al  1998,Antitumoral e Citotóxico,água salgada,6
Bertin et al  2018,Antitumoral e Citotóxico,água salgada,5
Gross et al 2010,Antitumoral e Citotóxico,água salgada,5
McManus et al 2020,Antitumoral e Citotóxico,água salgada,5
Phyo et al 2021,Antitumoral e Citotóxico,água salgada,5
Youssef et al 2016,Antitumoral e Citotóxico,água salgada,5
Cui et al 2017,Antitumoral e Citotóxico,água salgada,4
Jiménez et al 2009,Antitumoral e Citotóxico,água salgada,4
Kawaguchi et al 2020,Antitumoral e Citotóxico,água salgada,4
Luesch et al 2002,Antitumoral e Citotóxico,água salgada,4
Nagle and Gerwick 1995,Antitumoral e Citotóxico,água salgada,4
Tripathi et al 2010,Antitumoral e Citotóxico,água salgada,4
