autor,habitat,genero,especie,Contagem
 Yoo and GERWIC 1995,água salgada,Lyngbya,Lyngbya majuscula,3
Adams et al 2008,água salgada,Symploca,Symploca laete-viridis,2
Adiv and Carmeli 2013,água doce,Microcystis,Microcystis aeruginosa,18
Adiv et al 2010,água doce,Microcystis,Microcystis sp.,6
Adiv et al 2012,água doce,Microcystis,Microcystis aeruginosa,3
Admi et al 1996,Terrestre,Oscillatoria,Oscillatoria raoi,2
Adrianasolo et al 2005,água salgada,Geitlerinema,Geitlerinema sp.,2
Adrianasolo et al 2005,água salgada,Symploca,Symploca sp.,1
Afonso et al 2016,água salgada,Synechocystis,Synechocystis salina,7
Ahamed et al 2017,água salgada,Oscillatoria,Oscillatoria acuminata,1
Aimi et al 1990,água salgada,Lyngbya,Lyngbya majuscula,2
Akamatsu et al 2022,água doce,Anabaena,Anabaena circinalis,2
Al-Awadhi et al 2016,água salgada,Lyngbya,Lyngbya sp.,1
Al-Awadhi et al 2017,água salobra,Lyngbya,Lyngbya sp.,1
Almaliti et al 2017,água salgada,Moorena,Moorena producens,4
Al‐Awadhi et al 2018,água salgada,Leptolyngbya,Leptolyngbya sp.,3
An et al 2007,água doce,Lyngbya,Lyngbya sp.,2
Andrianasolo et al 2009,água salgada,Geitlerinema,Geitlerinema sp.,1
Azevedo et al 1994,água doce,Microcystis,Microcystis aeruginosa,2
Bagchi 1995,água doce,Oscillatoria,Oscillatoria late-virens,1
Ballot et al 2020,água doce,Microcystis,Microcystis aeruginosa,7
Ballot et al 2020,água doce,Microcystis,Microcystis novacekii,10
Ballot et al 2020,água doce,Raphidiopsis,Raphidiopsis raciborskii,1
Balunas et al 2010,água salobra,Lyngbya,Lyngbya majuscula,3
Balunas et al 2012,água salgada,Oscillatoria,cf. Oscillatoria sp.,4
Banack et al 2012,Hot Spring,Fischerella,Fischerella sp.,1
Banack et al 2012,Terrestre,Nostoc,Nostoc sp.,1
Banack et al 2012,terrestre,Nodularia,Nodularia sp.,1
Banack et al 2012,água doce,Anabaena,Anabaena sp.,1
Banack et al 2012,água doce,Anabaenopsis,Anabaenopsis sp.,1
Banack et al 2012,água doce,Chroococcales,Chroococcales spp.,1
Banack et al 2012,água doce,Chroococcidiopsis,Chroococcidiopsis sp.,1
Banack et al 2012,água doce,Oscillatoria,Oscillatoria sp.,1
Banack et al 2012,água doce,Oscillatoriales,Oscillatoriales spp.,1
Banack et al 2012,água doce,Phormidium,Phormidium sp.,1
Banack et al 2012,água doce,Synechocystis,Synechocystis sp.,1
Banack et al 2012,água doce,cyanobacterium,cyanobacterium spp.,1
Banack et al 2012,água salgada,Lyngbya,Lyngbya sp.,1
Banack et al 2012,água salgada,Oscillatoria,Oscillatoria sp.,1
Banack et al 2012,água salgada,cyanobacterium,cyanobacterium spp.,1
Banker & Carmeli 1999,água doce,Microcystis,Microcystis sp.,3
Banker and Carmeli 1998,terrestre,Nostoc,Nostoc spongiaeforme var. tenue,5
Banker et al 2000,água doce,Aphanizomenon,Aphanizomenon ovalisporum,6
Barchi jr. et al 1984,água doce,Oscillatoria,Oscillatoria acutissima,2
Bateman et al 1993,água doce,Microcystis,Microcystis aeruginosa,1
Baumann et al 2007,água doce,Planktothrix,Planktothrix rubescens,1
Beattie et al 1998,água salobra,Nostoc,Nostoc sp.,3
Beattie et al 2000,água doce,Nodularia,Nodularia sp.,1
Becher et al 2005,água doce,Nostoc,Nostoc sp.,1
Beiderbeck et al 2000,água doce,Anabaena,Anabaena cylindrica,1
Belise et al 2017,água doce,Trichodesmium,Trichodesmium sp.,1
